Location,Municipality / Local Government,Bilingual?,Northern?,Population,Active users,Active users as percent of population
Bette Winner Public Library,1,0,1,"1,007",326,32.4%
Bette Winner Public Library,Gillam (T),,1,"1,007",326,
Bibliothèque Allard Regional Library,3,1,0,"5,782","1,767",30.6%
Bibliothèque Allard Regional Library,Alexander (RM),1,,"3,854",589,
Bibliothèque Allard Regional Library,Victoria Beach (RM),,,689,589,
Bibliothèque Allard Regional Library,Powerview-Pine Falls (T),,,"1,239",589,
Bibliothèque Montcalm Library,1,1,0,"1,278",177,13.8%
Bibliothèque Montcalm Library,Montcalm (RM),1,,"1,278",177,
Bibliothèque Ritchot Library,2,1,0,"7,469","2,079",27.8%
Bibliothèque Ritchot Library,Ritchot (RM),1,,"7,469","2,079",
Bibliothèque Ritchot Library,,0,,,,
Bibliothèque municipal La Broquerie Municipal Library,1,1,0,"7,376","1,972",26.7%
Bibliothèque municipal La Broquerie Municipal Library,La Broquerie (RM),1,,"7,376","1,972",
Bibliothèque St. Claude Library,1,1,0,"2,517",453,18.0%
Bibliothèque St. Claude Library,Grey (RM),1,0,"2,517",453,
Bibliothèque Ste Anne Library,1,1,1,"2,891",276,9.5%
Bibliothèque Ste Anne Library,Ste. Anne (T),1,1,"2,891",276,
Bibliothèque Taché  Library,1,1,0,"12,000","4,105",34.2%
Bibliothèque Taché  Library,Taché (RM),1,0,"12,000","4,105",
Boissevain-Morton Library and Archives,2,0,0,"2,309",611,26.5%
Boissevain-Morton Library and Archives,Boissevain-Morton (MU),0,0,"2,309",611,
Boissevain-Morton Library and Archives,,0,0,,,
Border Regional Library,3,0,0,"6,715","1,092",16.3%
Border Regional Library,Virden (T),0,0,"3,118",702,
Border Regional Library,Wallace-Woodworth (RM),0,0,"2,748",336,
Border Regional Library,Ellice-Archie (RM),0,0,849,54,
Boyne Regional Library,2,0,0,"5,749","2,219",38.6%
Boyne Regional Library,Carman (T),,,"3,206","1,501",
Boyne Regional Library,Dufferin (RM),,,"2,543",718,
Bren Del Win Centennial Library,2,0,0,"2,128",500,23.5%
Bren Del Win Centennial Library,Deloraine-Winchester (MU),0,0,"1,478",450,
Bren Del Win Centennial Library,Brenda-Waskada (MU),0,0,650,50,
Brokenhead River Regional Library,2,0,0,"8,721","10,772",123.5%
Brokenhead River Regional Library,Beausejour (T),,,"3,307","5,386",
Brokenhead River Regional Library,Brokenhead (RM),,,"5,414","5,386",
Churchill Public Library,2,2,0,870,337,38.7%
Churchill Public Library,Churchill (T),1,0,870,337,
Churchill Public Library,Churchill 1 (IRI),1,0,,,
Emerson Public Library,1,0,0,"2,437",245,10.1%
Emerson Public Library,Emerson-Franklin (MU),,0,"2,437",245,
Evergreen Regional Library,3,0,0,"11,168","2,093",18.7%
Evergreen Regional Library,Gimli (RM),,,"6,569","1,333",
Evergreen Regional Library,Bifrost-Riverton (MU),,,"3,320",72,
Evergreen Regional Library,Arborg (T),,,"1,279",688,
Flin Flon Public Library,1,0,1,"4,940",278,5.6%
Flin Flon Public Library,Flin Flon (Part) (CY),,1,"4,940",278,
Gaynor Family Regional Library,4,0,0,"34,802","11,703",33.6%
Gaynor Family Regional Library,Selkirk (CY),,,"10,504","5,174",
Gaynor Family Regional Library,St. Andrews (RM),,,"11,723","3,610",
Gaynor Family Regional Library,St. Clements (RM),,,"11,586","2,675",
